,,,Grand Total,,,,,,,
Type,Material,Cut,Volume,Tonnes,FEGL,SILGL,ALGL,MNGL,PGL,PPCGL
Ore,HF,1180.00_58_26,0.19,0.54,61.68,2.05,2.66,0.06,0.07,6.21
Ore,HF,1180.00_57_27,3.93,11.00,62.43,2.35,2.29,0.05,0.07,5.38
Ore,HF,1180.00_57_26,8.81,24.66,62.36,2.19,2.67,0.06,0.08,5.21
Ore,HF,1180.00_56_28,0.36,1.02,62.44,1.64,2.24,0.05,0.08,6.12
Ore,HF,1180.00_56_27,12.47,34.91,62.03,1.80,2.56,0.05,0.07,6.34
Ore,HF,1180.00_56_26,21.78,60.99,62.04,1.84,2.77,0.06,0.08,6.06
Ore,HF,1180.00_56_24,0.25,0.70,62.79,1.23,3.50,0.04,0.06,5.23
Ore,HF,1180.00_55_28,2.09,5.86,62.58,1.34,2.48,0.04,0.08,6.13
Ore,HF,1180.00_55_27,15.38,43.07,61.70,1.53,2.76,0.04,0.07,6.88
Ore,HF,1180.00_55_24,2.66,7.46,61.73,1.65,3.32,0.05,0.06,6.42
Ore,HF,1180.00_54_28,1.45,4.07,62.12,1.37,2.49,0.05,0.09,6.62
Ore,HF,1180.00_53_28,2.38,6.67,62.34,1.74,2.28,0.04,0.08,6.61
Ore,HF,1180.00_53_25,14.77,41.35,63.22,1.64,2.34,0.02,0.06,5.44
Ore,HF,1180.00_53_23,0.70,1.96,62.67,0.96,3.31,0.07,0.06,5.52
Ore,HF,1180.00_52_28,18.33,51.32,62.27,1.76,2.45,0.04,0.08,6.78
Ore,HF,1180.00_52_26,30.15,84.42,62.60,2.44,1.96,0.03,0.05,6.10
Ore,HF,1180.00_52_25,39.49,110.57,63.34,1.82,1.88,0.02,0.06,5.60
Ore,HF,1180.00_52_24,43.34,121.34,63.68,1.50,1.85,0.02,0.06,5.34
Ore,HF,1180.00_51_29,22.11,61.92,62.49,1.43,2.38,0.03,0.08,6.62
Ore,HF,1180.00_51_28,46.47,130.11,62.60,1.62,2.20,0.03,0.08,6.44
Ore,HF,1180.00_51_27,41.36,115.80,61.94,2.38,1.98,0.04,0.05,7.07
Ore,HF,1180.00_51_26,50.59,141.64,61.71,2.61,2.03,0.04,0.04,7.15
Ore,HF,1180.00_51_25,45.46,127.29,62.51,2.13,2.11,0.02,0.05,6.30
Ore,HF,1180.00_51_24,10.61,29.71,63.77,1.64,1.62,0.01,0.06,5.36
Ore,HF,1180.00_51_22,0.51,1.43,61.77,1.42,3.13,0.11,0.06,5.95
