,,,Grand Total,,,,,,,
Type,Material,Cut,Volume,Tonnes,FEGL,SILGL,ALGL,MNGL,PGL,PPCGL
Waste,IFA,1205.00_14_16,500.00,"1,300.00",52.14,6.26,7.52,0.09,0.09,10.79
Waste,IFA,1205.00_14_15,250.00,650.00,52.21,6.32,7.54,0.09,0.09,10.61
Waste,IFA,1205.00_13_22,125.00,325.00,51.80,5.78,7.38,0.08,0.09,11.96
Waste,IFA,1205.00_13_19,125.00,325.00,52.11,5.79,7.51,0.08,0.09,11.33
Waste,IFA,1205.00_13_18,375.00,975.00,52.01,6.21,7.46,0.09,0.09,11.10
Waste,IFA,1205.00_13_17,500.00,"1,300.00",52.11,6.27,7.49,0.09,0.09,10.87
Waste,IFA,1205.00_13_16,500.00,"1,300.00",52.21,6.36,7.52,0.08,0.09,10.61
Waste,IFA,1205.00_13_15,500.00,"1,300.00",52.31,6.43,7.55,0.08,0.09,10.35
Waste,IFA,1205.00_12_20,375.00,975.00,52.04,5.80,7.48,0.08,0.09,11.47
Waste,IFA,1205.00_12_19,500.00,"1,300.00",52.14,5.84,7.52,0.08,0.09,11.25
Waste,IFA,1205.00_12_18,500.00,"1,300.00",52.07,6.27,7.47,0.08,0.09,10.95
Waste,IFA,1205.00_12_17,500.00,"1,300.00",52.18,6.36,7.50,0.08,0.09,10.68
Waste,IFA,1205.00_12_16,500.00,"1,300.00",52.29,6.44,7.53,0.08,0.09,10.41
Waste,IFA,1205.00_12_15,500.00,"1,300.00",52.38,6.53,7.56,0.07,0.09,10.15
Waste,IFA,1205.00_12_14,125.00,325.00,52.47,6.62,7.57,0.07,0.09,9.93
Waste,IFA,1205.00_11_19,375.00,975.00,52.21,5.91,7.53,0.08,0.09,11.06
Waste,IFA,1205.00_11_18,500.00,"1,300.00",52.14,6.34,7.48,0.08,0.09,10.76
Waste,IFA,1205.00_11_17,250.00,650.00,52.23,6.41,7.51,0.08,0.09,10.54
Waste,IFA,1205.00_11_16,250.00,650.00,52.34,6.51,7.54,0.07,0.09,10.26
Waste,IFA,1205.00_11_15,500.00,"1,300.00",52.45,6.63,7.56,0.07,0.09,9.97
Waste,IFA,1205.00_11_14,250.00,650.00,52.51,6.69,7.57,0.07,0.09,9.80
Waste,IFA,1202.93_17_25,0.85,2.20,50.61,3.66,10.05,0.08,0.09,13.11
Waste,IFA,1200.18_31_29,252.07,655.38,52.72,3.14,8.87,0.03,0.13,11.43
Waste,IFA,1200.18_30_29,140.04,364.11,53.20,3.68,7.87,0.03,0.14,11.15
Waste,IFA,1200.18_29_29,21.00,54.59,53.60,4.09,7.07,0.03,0.14,10.96
Waste,IFA,1200.00_7_13,250.00,650.00,52.23,7.36,7.86,0.05,0.08,9.28
Waste,IFA,1200.00_7_12,125.00,325.00,52.33,7.33,7.82,0.04,0.08,9.20
Waste,IFA,1200.00_6_13,125.00,325.00,52.21,7.38,7.88,0.05,0.08,9.27
Waste,IFA,1200.00_6_12,375.00,975.00,52.27,7.37,7.86,0.04,0.08,9.21
Waste,IFA,1200.00_6_11,125.00,325.00,52.26,7.38,7.87,0.04,0.08,9.20
Waste,IFA,1200.00_5_11,82.58,214.71,52.14,7.44,7.93,0.05,0.08,9.24
Waste,IFA,1200.00_33_29,122.39,318.21,51.91,2.27,10.51,0.02,0.12,11.87
Waste,IFA,1200.00_33_28,248.37,645.75,51.37,1.47,11.60,0.02,0.12,12.46
Waste,IFA,1200.00_32_29,363.46,944.99,52.24,2.62,9.84,0.02,0.13,11.69
Waste,IFA,1200.00_32_28,374.78,974.44,51.99,2.16,10.49,0.02,0.12,11.96
Waste,IFA,1200.00_32_26,125.00,325.00,51.98,1.95,9.83,0.05,0.14,12.62
Waste,IFA,1200.00_31_28,371.56,966.06,52.67,3.10,8.95,0.03,0.13,11.47
Waste,IFA,1200.00_31_27,125.00,325.00,51.79,2.26,10.42,0.03,0.12,11.93
Waste,IFA,1200.00_30_28,121.73,316.49,53.14,3.61,8.01,0.03,0.14,11.19
Waste,IFA,1200.00_27_20,375.00,975.00,53.72,2.67,7.91,0.12,0.14,11.40
Waste,IFA,1200.00_27_19,500.00,"1,300.00",53.63,2.31,8.25,0.15,0.14,11.49
Waste,IFA,1200.00_27_18,500.00,"1,300.00",53.39,2.27,8.50,0.19,0.15,11.52
Waste,IFA,1200.00_27_17,250.00,650.00,53.25,2.63,8.39,0.19,0.15,11.46
Waste,IFA,1200.00_26_24,250.00,650.00,54.11,4.71,5.95,0.04,0.13,10.91
Waste,IFA,1200.00_26_23,125.00,325.00,54.06,4.34,6.34,0.04,0.12,11.01
Waste,IFA,1200.00_26_21,250.00,650.00,53.47,2.91,8.03,0.10,0.12,11.56
Waste,IFA,1200.00_26_20,500.00,"1,300.00",53.44,2.72,8.18,0.12,0.13,11.58
Waste,IFA,1200.00_26_19,500.00,"1,300.00",53.41,2.49,8.35,0.14,0.13,11.61
Waste,IFA,1200.00_26_18,500.00,"1,300.00",53.05,2.60,8.61,0.19,0.15,11.61
Waste,IFA,1200.00_26_17,500.00,"1,300.00",52.94,2.84,8.56,0.20,0.15,11.57
Waste,IFA,1200.00_25_21,250.00,650.00,53.35,3.11,7.97,0.10,0.12,11.58
Waste,IFA,1200.00_25_20,500.00,"1,300.00",53.35,2.98,8.08,0.11,0.12,11.59
Waste,IFA,1200.00_25_19,500.00,"1,300.00",53.34,2.82,8.20,0.12,0.13,11.60
Waste,IFA,1200.00_25_18,500.00,"1,300.00",52.87,3.03,8.48,0.19,0.14,11.59
Waste,IFA,1200.00_25_17,375.00,975.00,52.82,3.15,8.47,0.19,0.14,11.56
Waste,IFA,1200.00_24_20,500.00,"1,300.00",53.20,3.29,7.98,0.11,0.12,11.62
Waste,IFA,1200.00_24_19,500.00,"1,300.00",53.21,3.16,8.07,0.11,0.12,11.61
Waste,IFA,1200.00_24_18,500.00,"1,300.00",52.72,3.43,8.35,0.18,0.14,11.59
Waste,IFA,1200.00_24_17,500.00,"1,300.00",52.68,3.53,8.35,0.19,0.14,11.54
Waste,IFA,1200.00_23_20,500.00,"1,300.00",53.00,3.65,7.88,0.10,0.12,11.67
Waste,IFA,1200.00_23_19,500.00,"1,300.00",53.05,3.53,7.95,0.11,0.12,11.64
Waste,IFA,1200.00_23_18,500.00,"1,300.00",52.57,3.82,8.21,0.17,0.13,11.60
Waste,IFA,1200.00_23_17,500.00,"1,300.00",52.56,3.84,8.24,0.18,0.13,11.54
Waste,IFA,1200.00_23_16,125.00,325.00,52.52,3.96,8.22,0.18,0.13,11.50
Waste,IFA,1200.00_22_21,125.00,325.00,52.64,4.30,7.69,0.09,0.11,11.80
Waste,IFA,1200.00_22_20,500.00,"1,300.00",52.77,4.06,7.77,0.10,0.11,11.74
Waste,IFA,1200.00_22_19,500.00,"1,300.00",52.85,3.91,7.84,0.10,0.11,11.69
Waste,IFA,1200.00_22_18,500.00,"1,300.00",52.44,4.17,8.09,0.16,0.12,11.62
Waste,IFA,1200.00_22_17,500.00,"1,300.00",52.46,4.14,8.13,0.17,0.13,11.55
Waste,IFA,1200.00_22_16,500.00,"1,300.00",52.46,4.15,8.16,0.18,0.13,11.49
Waste,IFA,1200.00_22_15,125.00,325.00,52.44,4.25,8.14,0.18,0.13,11.44
Waste,IFA,1200.00_21_21,375.00,975.00,52.57,5.01,7.13,0.09,0.11,11.73
Waste,IFA,1200.00_21_20,500.00,"1,300.00",52.53,4.48,7.66,0.09,0.10,11.82
Waste,IFA,1200.00_21_19,500.00,"1,300.00",52.65,4.29,7.74,0.10,0.11,11.74
Waste,IFA,1200.00_21_18,500.00,"1,300.00",52.32,4.50,7.96,0.15,0.12,11.65
Waste,IFA,1200.00_21_17,500.00,"1,300.00",52.37,4.42,8.02,0.16,0.12,11.56
Waste,IFA,1200.00_21_16,500.00,"1,300.00",52.39,4.40,8.06,0.16,0.12,11.47
Waste,IFA,1200.00_21_15,500.00,"1,300.00",52.40,4.41,8.09,0.17,0.13,11.41
Waste,IFA,1200.00_21_14,250.00,650.00,52.40,4.49,8.09,0.17,0.13,11.34
Waste,IFA,1200.00_20_23,250.00,650.00,52.01,5.75,6.99,0.08,0.09,12.06
Waste,IFA,1200.00_20_22,375.00,975.00,52.19,5.59,6.97,0.08,0.10,11.93
Waste,IFA,1200.00_20_21,500.00,"1,300.00",52.37,5.43,6.95,0.09,0.10,11.79
Waste,IFA,1200.00_20_20,500.00,"1,300.00",52.43,5.04,7.27,0.09,0.10,11.79
Waste,IFA,1200.00_20_19,375.00,975.00,52.47,4.62,7.64,0.09,0.10,11.79
Waste,IFA,1200.00_20_18,250.00,650.00,52.23,4.72,7.88,0.14,0.11,11.67
Waste,IFA,1200.00_20_17,375.00,975.00,52.30,4.65,7.94,0.15,0.12,11.55
Waste,IFA,1200.00_20_16,500.00,"1,300.00",52.34,4.63,7.98,0.15,0.12,11.46
Waste,IFA,1200.00_20_15,500.00,"1,300.00",52.37,4.62,8.01,0.16,0.12,11.37
Waste,IFA,1200.00_20_14,500.00,"1,300.00",52.39,4.63,8.03,0.16,0.12,11.29
Waste,IFA,1200.00_20_13,375.00,975.00,52.39,4.68,8.04,0.16,0.12,11.22
Waste,IFA,1200.00_19_25,184.40,479.44,51.76,5.87,7.08,0.08,0.09,12.25
Waste,IFA,1200.00_19_24,500.00,"1,300.00",51.67,5.91,7.13,0.08,0.09,12.29
Waste,IFA,1200.00_19_23,500.00,"1,300.00",51.78,5.85,7.10,0.08,0.09,12.20
Waste,IFA,1200.00_19_22,500.00,"1,300.00",51.93,5.74,7.07,0.08,0.09,12.09
Waste,IFA,1200.00_19_21,500.00,"1,300.00",52.13,5.61,7.03,0.08,0.10,11.94
Waste,IFA,1200.00_19_20,125.00,325.00,52.33,5.45,7.01,0.09,0.10,11.80
Waste,IFA,1200.00_19_15,375.00,975.00,52.34,4.80,7.95,0.15,0.12,11.32
Waste,IFA,1200.00_19_14,500.00,"1,300.00",52.37,4.83,7.97,0.15,0.12,11.22
Waste,IFA,1200.00_19_13,375.00,975.00,52.39,4.84,7.99,0.15,0.12,11.15
Waste,IFA,1200.00_18_25,50.42,131.09,51.57,5.94,7.19,0.08,0.08,12.36
Waste,IFA,1200.00_18_24,497.33,"1,293.07",51.54,5.96,7.20,0.08,0.08,12.37
Waste,IFA,1200.00_18_23,500.00,"1,300.00",51.62,5.92,7.17,0.08,0.09,12.31
Waste,IFA,1200.00_18_22,500.00,"1,300.00",51.77,5.83,7.13,0.08,0.09,12.19
Waste,IFA,1200.00_18_21,125.00,325.00,51.95,5.73,7.08,0.08,0.09,12.06
Waste,IFA,1200.00_18_15,125.00,325.00,52.33,4.97,7.90,0.14,0.11,11.24
Waste,IFA,1200.00_18_14,500.00,"1,300.00",52.36,5.03,7.90,0.14,0.11,11.13
Waste,IFA,1200.00_17_24,428.18,"1,113.26",51.46,5.77,7.43,0.08,0.08,12.45
Waste,IFA,1200.00_17_23,500.00,"1,300.00",51.39,5.36,7.84,0.08,0.09,12.55
Waste,IFA,1200.00_17_22,375.00,975.00,51.33,4.94,8.27,0.08,0.09,12.63
Waste,IFA,1200.00_17_14,250.00,650.00,51.91,5.55,8.08,0.11,0.10,11.23
Waste,IFA,1200.00_16_24,270.36,702.94,51.48,5.82,7.41,0.08,0.08,12.40
Waste,IFA,1200.00_16_23,500.00,"1,300.00",51.57,5.92,7.24,0.08,0.08,12.33
Waste,IFA,1200.00_16_22,125.00,325.00,51.59,5.88,7.27,0.08,0.09,12.30
Waste,IFA,1200.00_16_15,125.00,325.00,52.14,6.17,7.57,0.10,0.10,10.79
Waste,IFA,1200.00_16_14,250.00,650.00,52.17,6.16,7.59,0.10,0.10,10.74
Waste,IFA,1200.00_15_24,37.00,96.21,51.59,5.92,7.23,0.08,0.09,12.30
Waste,IFA,1200.00_15_23,373.66,971.52,51.61,5.89,7.27,0.08,0.09,12.26
Waste,IFA,1200.00_15_15,375.00,975.00,52.18,6.25,7.56,0.09,0.09,10.68
Waste,IFA,1200.00_14_16,125.00,325.00,52.19,6.32,7.53,0.09,0.09,10.66
Waste,IFA,1200.00_14_15,500.00,"1,300.00",52.24,6.35,7.55,0.09,0.09,10.52
Waste,IFA,1200.00_13_17,375.00,975.00,52.13,6.30,7.49,0.09,0.09,10.81
Waste,IFA,1200.00_13_16,500.00,"1,300.00",52.22,6.37,7.52,0.08,0.09,10.58
Waste,IFA,1200.00_13_15,500.00,"1,300.00",52.32,6.45,7.55,0.08,0.09,10.32
Waste,IFA,1200.00_12_20,125.00,325.00,52.08,5.83,7.49,0.08,0.09,11.37
Waste,IFA,1200.00_12_19,375.00,975.00,52.15,5.86,7.52,0.08,0.09,11.20
Waste,IFA,1200.00_12_18,500.00,"1,300.00",52.08,6.28,7.47,0.08,0.09,10.93
Waste,IFA,1200.00_12_17,500.00,"1,300.00",52.19,6.37,7.50,0.08,0.09,10.65
Waste,IFA,1200.00_12_16,500.00,"1,300.00",52.30,6.46,7.53,0.08,0.09,10.37
Waste,IFA,1200.00_12_15,375.00,975.00,52.38,6.54,7.55,0.07,0.09,10.15
Waste,IFA,1200.00_11_19,375.00,975.00,52.21,5.92,7.53,0.08,0.09,11.04
Waste,IFA,1200.00_11_18,250.00,650.00,52.14,6.34,7.48,0.08,0.09,10.79
Waste,IFA,1199.58_64_23,0.08,0.21,52.20,2.63,10.33,0.09,0.04,12.15
Waste,IFA,1198.88_64_22,2.46,6.40,51.64,2.72,11.52,0.10,0.04,11.66
Waste,IFA,1198.74_64_21,0.18,0.47,51.15,2.99,12.45,0.12,0.05,11.09
Waste,IFA,1197.70_63_22,7.36,19.14,51.21,2.00,12.81,0.07,0.04,11.87
Waste,IFA,1197.66_63_21,0.84,2.17,50.85,2.06,13.56,0.08,0.04,11.56
Waste,IFA,1196.92_28_28,2.03,5.29,54.77,5.03,4.82,0.04,0.14,10.59
Waste,IFA,1196.42_62_22,3.94,10.25,50.94,1.07,13.82,0.04,0.03,12.35
Waste,IFA,1196.21_62_21,0.08,0.22,50.81,1.06,14.11,0.04,0.03,12.28
Waste,IFA,1195.90_32_29,6.81,17.71,52.15,2.54,10.00,0.02,0.13,11.74
Waste,IFA,1195.11_61_22,1.62,4.22,50.55,0.96,14.81,0.04,0.03,12.12
Waste,IFA,1195.00_9_12,250.00,650.00,52.80,7.05,7.59,0.04,0.08,9.07
Waste,IFA,1195.00_9_11,125.00,325.00,52.81,7.07,7.59,0.04,0.08,9.02
Waste,IFA,1195.00_8_13,250.00,650.00,52.58,7.13,7.69,0.05,0.08,9.18
Waste,IFA,1195.00_8_12,500.00,"1,300.00",52.66,7.15,7.67,0.04,0.08,9.08
Waste,IFA,1195.00_8_11,125.00,325.00,52.82,7.07,7.59,0.04,0.08,9.01
Waste,IFA,1195.00_7_13,375.00,975.00,52.35,7.30,7.81,0.04,0.08,9.21
Waste,IFA,1195.00_7_12,375.00,975.00,52.47,7.27,7.76,0.04,0.08,9.13
Waste,IFA,1195.00_61_21,2.63,6.85,50.58,0.98,14.71,0.04,0.03,12.15
Waste,IFA,1195.00_60_22,0.15,0.38,50.52,0.95,14.88,0.04,0.03,12.09
Waste,IFA,1195.00_60_21,0.14,0.35,50.54,0.96,14.84,0.04,0.03,12.08
Waste,IFA,1195.00_6_12,269.51,700.73,52.38,7.32,7.81,0.04,0.08,9.16
Waste,IFA,1195.00_34_27,232.23,603.79,51.48,1.86,11.03,0.03,0.11,12.18
Waste,IFA,1195.00_34_26,25.86,67.23,51.34,1.68,11.44,0.02,0.11,12.26
Waste,IFA,1195.00_34_24,2.97,7.73,53.50,2.78,7.76,0.05,0.10,12.03
Waste,IFA,1195.00_34_23,12.43,32.31,53.97,2.93,7.01,0.05,0.10,11.95
Waste,IFA,1195.00_34_22,13.89,36.10,53.90,2.94,7.07,0.05,0.10,12.00
Waste,IFA,1195.00_33_28,374.94,974.84,51.69,1.74,11.11,0.02,0.11,12.22
Waste,IFA,1195.00_33_27,499.97,"1,299.92",51.50,1.95,10.95,0.03,0.12,12.12
Waste,IFA,1195.00_33_25,276.07,717.79,53.15,2.65,8.44,0.04,0.11,11.94
Waste,IFA,1195.00_33_24,58.23,151.39,53.46,2.78,7.80,0.04,0.10,12.02
Waste,IFA,1195.00_33_23,82.27,213.91,54.08,2.94,6.87,0.05,0.10,11.92
Waste,IFA,1195.00_32_28,465.81,"1,211.11",52.12,2.43,10.11,0.02,0.12,11.83
Waste,IFA,1195.00_32_27,500.00,"1,300.00",51.58,2.12,10.77,0.03,0.12,12.00
Waste,IFA,1195.00_32_26,500.00,"1,300.00",52.69,2.49,9.11,0.04,0.11,11.93
Waste,IFA,1195.00_32_25,125.00,325.00,53.23,2.78,8.30,0.04,0.11,11.82
Waste,IFA,1195.00_31_28,358.68,932.58,52.78,3.22,8.70,0.03,0.13,11.43
Waste,IFA,1195.00_31_27,500.00,"1,300.00",53.07,3.09,8.10,0.04,0.12,11.62
Waste,IFA,1195.00_31_26,125.00,325.00,53.42,3.05,7.67,0.05,0.11,11.70
Waste,IFA,1195.00_30_28,239.39,622.41,53.85,4.11,6.64,0.04,0.14,11.04
Waste,IFA,1195.00_30_27,250.00,650.00,53.99,4.27,6.11,0.05,0.13,11.01
Waste,IFA,1195.00_29_28,89.07,231.58,54.70,4.80,5.03,0.04,0.14,10.74
Waste,IFA,1195.00_29_27,499.50,"1,298.71",54.29,4.67,5.56,0.04,0.14,10.77
Waste,IFA,1195.00_29_20,125.00,325.00,54.30,2.25,7.72,0.25,0.14,10.94
Waste,IFA,1195.00_29_19,375.00,975.00,54.45,1.97,7.80,0.30,0.15,10.81
Waste,IFA,1195.00_29_18,375.00,975.00,54.46,1.92,7.84,0.31,0.15,10.79
Waste,IFA,1195.00_28_27,430.22,"1,118.57",54.43,4.89,5.36,0.04,0.14,10.61
Waste,IFA,1195.00_28_26,375.00,975.00,54.43,4.83,5.42,0.04,0.14,10.65
Waste,IFA,1195.00_28_22,125.00,325.00,54.00,3.38,7.21,0.08,0.12,11.17
Waste,IFA,1195.00_28_21,250.00,650.00,54.13,3.16,7.26,0.13,0.13,11.06
Waste,IFA,1195.00_28_20,500.00,"1,300.00",54.28,2.63,7.48,0.21,0.14,10.91
Waste,IFA,1195.00_28_19,500.00,"1,300.00",54.42,2.19,7.67,0.27,0.15,10.81
Waste,IFA,1195.00_28_18,500.00,"1,300.00",54.35,2.07,7.82,0.30,0.15,10.82
Waste,IFA,1195.00_28_17,375.00,975.00,54.21,2.35,7.75,0.29,0.15,10.83
Waste,IFA,1195.00_28_16,250.00,650.00,53.72,3.04,7.75,0.28,0.15,10.89
Waste,IFA,1195.00_28_15,125.00,325.00,53.22,3.62,7.83,0.26,0.15,10.99
Waste,IFA,1195.00_27_27,277.10,720.46,54.49,4.96,5.33,0.04,0.14,10.55
Waste,IFA,1195.00_27_22,250.00,650.00,54.07,3.47,7.07,0.09,0.12,11.10
Waste,IFA,1195.00_27_21,500.00,"1,300.00",54.15,3.26,7.14,0.12,0.13,11.03
Waste,IFA,1195.00_27_20,500.00,"1,300.00",54.28,2.87,7.31,0.18,0.14,10.91
Waste,IFA,1195.00_27_19,500.00,"1,300.00",54.38,2.51,7.47,0.23,0.15,10.83
Waste,IFA,1195.00_27_18,500.00,"1,300.00",54.25,2.48,7.62,0.28,0.15,10.77
Waste,IFA,1195.00_27_17,500.00,"1,300.00",54.04,2.73,7.66,0.28,0.15,10.81
Waste,IFA,1195.00_27_16,500.00,"1,300.00",53.62,3.23,7.72,0.27,0.15,10.89
Waste,IFA,1195.00_27_15,500.00,"1,300.00",53.05,3.85,7.85,0.26,0.15,11.02
Waste,IFA,1195.00_27_14,375.00,975.00,52.58,4.32,7.97,0.25,0.14,11.14
Waste,IFA,1195.00_27_13,125.00,325.00,52.33,4.55,8.04,0.25,0.14,11.21
Waste,IFA,1195.00_26_24,125.00,325.00,54.21,4.66,5.91,0.04,0.13,10.85
Waste,IFA,1195.00_26_23,250.00,650.00,53.92,3.92,6.84,0.07,0.12,11.14
Waste,IFA,1195.00_26_22,500.00,"1,300.00",53.78,3.25,7.55,0.10,0.12,11.30
Waste,IFA,1195.00_26_21,500.00,"1,300.00",53.85,3.08,7.59,0.13,0.12,11.22
Waste,IFA,1195.00_26_20,500.00,"1,300.00",53.97,2.86,7.63,0.17,0.13,11.12
Waste,IFA,1195.00_26_19,500.00,"1,300.00",54.07,2.67,7.68,0.21,0.14,11.03
Waste,IFA,1195.00_26_18,500.00,"1,300.00",53.81,2.79,7.84,0.28,0.15,10.93
Waste,IFA,1195.00_26_17,500.00,"1,300.00",53.62,3.02,7.87,0.27,0.15,10.97
Waste,IFA,1195.00_26_16,500.00,"1,300.00",53.29,3.41,7.92,0.27,0.14,11.04
Waste,IFA,1195.00_26_15,500.00,"1,300.00",52.89,3.87,7.98,0.26,0.14,11.12
Waste,IFA,1195.00_26_14,500.00,"1,300.00",52.55,4.25,8.05,0.25,0.14,11.18
Waste,IFA,1195.00_26_13,500.00,"1,300.00",52.34,4.49,8.09,0.25,0.14,11.22
Waste,IFA,1195.00_26_12,250.00,650.00,52.00,4.88,8.15,0.24,0.14,11.30
Waste,IFA,1195.00_25_25,500.00,"1,300.00",54.37,5.07,5.36,0.04,0.14,10.68
Waste,IFA,1195.00_25_24,500.00,"1,300.00",54.12,4.91,5.75,0.04,0.13,10.87
Waste,IFA,1195.00_25_23,250.00,650.00,53.89,4.03,6.77,0.07,0.12,11.13
Waste,IFA,1195.00_25_22,250.00,650.00,53.69,3.33,7.55,0.11,0.12,11.32
Waste,IFA,1195.00_25_21,375.00,975.00,53.75,3.22,7.58,0.14,0.12,11.25
Waste,IFA,1195.00_25_20,500.00,"1,300.00",53.81,3.10,7.60,0.16,0.13,11.19
Waste,IFA,1195.00_25_19,500.00,"1,300.00",53.89,2.96,7.63,0.19,0.13,11.11
Waste,IFA,1195.00_25_18,500.00,"1,300.00",53.52,3.20,7.83,0.26,0.14,11.02
Waste,IFA,1195.00_25_17,500.00,"1,300.00",53.38,3.36,7.86,0.26,0.14,11.03
Waste,IFA,1195.00_25_16,500.00,"1,300.00",53.15,3.62,7.90,0.26,0.14,11.07
Waste,IFA,1195.00_25_15,500.00,"1,300.00",52.88,3.92,7.96,0.25,0.14,11.12
Waste,IFA,1195.00_25_14,500.00,"1,300.00",52.64,4.19,8.00,0.25,0.14,11.16
Waste,IFA,1195.00_25_13,500.00,"1,300.00",52.48,4.38,8.04,0.25,0.14,11.19
Waste,IFA,1195.00_24_21,250.00,650.00,53.55,3.48,7.55,0.14,0.12,11.32
Waste,IFA,1195.00_24_20,500.00,"1,300.00",53.62,3.39,7.57,0.15,0.12,11.27
Waste,IFA,1195.00_24_19,500.00,"1,300.00",53.69,3.28,7.60,0.17,0.12,11.20
Waste,IFA,1195.00_24_18,500.00,"1,300.00",53.26,3.58,7.80,0.24,0.14,11.11
Waste,IFA,1195.00_24_17,500.00,"1,300.00",53.18,3.66,7.84,0.25,0.14,11.09
Waste,IFA,1195.00_24_16,500.00,"1,300.00",53.04,3.82,7.88,0.25,0.14,11.10
Waste,IFA,1195.00_24_15,500.00,"1,300.00",52.87,4.01,7.92,0.24,0.14,11.12
Waste,IFA,1195.00_24_14,500.00,"1,300.00",52.70,4.19,7.96,0.24,0.14,11.14
Waste,IFA,1195.00_24_13,250.00,650.00,52.60,4.31,7.98,0.24,0.14,11.15
Waste,IFA,1195.00_23_21,250.00,650.00,53.28,3.83,7.51,0.13,0.11,11.42
Waste,IFA,1195.00_23_20,500.00,"1,300.00",53.36,3.73,7.53,0.14,0.12,11.36
Waste,IFA,1195.00_23_19,500.00,"1,300.00",53.45,3.62,7.56,0.15,0.12,11.30
Waste,IFA,1195.00_23_18,500.00,"1,300.00",53.03,3.94,7.76,0.22,0.13,11.19
Waste,IFA,1195.00_23_17,500.00,"1,300.00",53.00,3.96,7.80,0.23,0.13,11.16
Waste,IFA,1195.00_23_16,500.00,"1,300.00",52.93,4.04,7.84,0.23,0.13,11.14
Waste,IFA,1195.00_23_15,500.00,"1,300.00",52.83,4.14,7.88,0.23,0.14,11.13
Waste,IFA,1195.00_23_14,500.00,"1,300.00",52.73,4.26,7.91,0.23,0.14,11.13
Waste,IFA,1195.00_23_13,375.00,975.00,52.65,4.36,7.93,0.23,0.14,11.12
Waste,IFA,1195.00_22_21,250.00,650.00,52.97,4.25,7.46,0.12,0.11,11.56
Waste,IFA,1195.00_22_20,500.00,"1,300.00",53.07,4.13,7.48,0.13,0.11,11.48
Waste,IFA,1195.00_22_19,500.00,"1,300.00",53.19,3.99,7.50,0.14,0.11,11.40
Waste,IFA,1195.00_22_18,500.00,"1,300.00",52.81,4.27,7.70,0.20,0.12,11.28
Waste,IFA,1195.00_22_17,500.00,"1,300.00",52.84,4.24,7.75,0.21,0.13,11.21
Waste,IFA,1195.00_22_16,500.00,"1,300.00",52.82,4.25,7.79,0.22,0.13,11.17
Waste,IFA,1195.00_22_15,500.00,"1,300.00",52.77,4.31,7.83,0.22,0.13,11.14
Waste,IFA,1195.00_22_14,500.00,"1,300.00",52.72,4.37,7.86,0.22,0.13,11.11
Waste,IFA,1195.00_22_13,500.00,"1,300.00",52.66,4.45,7.89,0.22,0.13,11.09
Waste,IFA,1195.00_22_12,375.00,975.00,52.03,5.28,7.99,0.20,0.12,11.15
Waste,IFA,1195.00_21_22,125.00,325.00,52.67,5.42,6.68,0.10,0.11,11.59
Waste,IFA,1195.00_21_21,500.00,"1,300.00",52.89,5.25,6.64,0.11,0.11,11.44
Waste,IFA,1195.00_21_20,375.00,975.00,52.78,4.51,7.43,0.12,0.10,11.62
Waste,IFA,1195.00_21_19,250.00,650.00,52.99,4.27,7.47,0.13,0.11,11.47
Waste,IFA,1195.00_21_17,125.00,325.00,52.73,4.43,7.72,0.20,0.12,11.24
Waste,IFA,1195.00_21_16,250.00,650.00,52.74,4.42,7.75,0.20,0.13,11.18
Waste,IFA,1195.00_21_15,375.00,975.00,52.71,4.47,7.79,0.21,0.13,11.13
Waste,IFA,1195.00_21_14,500.00,"1,300.00",52.68,4.53,7.81,0.21,0.13,11.09
Waste,IFA,1195.00_21_13,500.00,"1,300.00",52.66,4.57,7.84,0.21,0.13,11.05
Waste,IFA,1195.00_21_12,500.00,"1,300.00",52.05,5.41,7.95,0.18,0.12,11.08
Waste,IFA,1195.00_21_11,250.00,650.00,52.07,5.41,7.96,0.18,0.12,11.05
Waste,IFA,1195.00_20_24,326.07,847.79,52.03,5.78,6.94,0.07,0.09,12.06
Waste,IFA,1195.00_20_23,500.00,"1,300.00",52.16,5.71,6.89,0.08,0.10,11.95
Waste,IFA,1195.00_20_22,500.00,"1,300.00",52.32,5.61,6.85,0.09,0.10,11.83
Waste,IFA,1195.00_20_21,375.00,975.00,52.53,5.46,6.79,0.10,0.10,11.67
Waste,IFA,1195.00_20_14,125.00,325.00,52.66,4.66,7.78,0.20,0.12,11.05
Waste,IFA,1195.00_20_13,500.00,"1,300.00",52.65,4.73,7.79,0.19,0.12,11.00
Waste,IFA,1195.00_20_12,375.00,975.00,52.08,5.55,7.89,0.17,0.11,11.00
Waste,IFA,1195.00_19_24,274.69,714.20,51.72,5.89,7.11,0.08,0.09,12.24
Waste,IFA,1195.00_19_23,500.00,"1,300.00",51.80,5.85,7.08,0.08,0.09,12.18
Waste,IFA,1195.00_19_22,500.00,"1,300.00",51.99,5.76,7.01,0.09,0.09,12.04
Waste,IFA,1195.00_19_21,125.00,325.00,52.23,5.63,6.92,0.09,0.10,11.87
Waste,IFA,1195.00_19_13,500.00,"1,300.00",52.63,4.92,7.75,0.18,0.12,10.92
Waste,IFA,1195.00_19_12,125.00,325.00,52.10,5.68,7.84,0.15,0.11,10.93
Waste,IFA,1195.00_18_24,146.44,380.75,51.55,5.95,7.20,0.08,0.08,12.36
